Module                  Size  Used by
ufs                   126976  0
qnx4                   12288  0
hfsplus               139264  0
hfs                    77824  0
minix                  49152  0
ntfs                  139264  0
msdos                  16384  0
jfs                   299008  0
nls_ucs2_utils          8192  1 jfs
xfs                  2367488  0
cpuid                  12288  0
xt_conntrack           12288  1
xt_MASQUERADE          16384  1
bridge                421888  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xt_set                 20480  0
ip_set                 61440  1 xt_set
nft_chain_nat          12288  5
nf_nat                 61440  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          196608  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
xt_addrtype            12288  4
nft_compat             20480  6
nf_tables             376832  75 nft_compat,nft_chain_nat
xfrm_user              61440  1
xfrm_algo              16384  1 xfrm_user
ccm                    20480  6
rfcomm                102400  16
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
overlay               212992  0
ipmi_devintf           16384  0
ipmi_msghandler        94208  1 ipmi_devintf
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         16384  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
binfmt_misc            24576  1
zfs                  6602752  6
spl                   180224  1 zfs
snd_ctl_led            24576  0
ledtrig_audio          12288  1 snd_ctl_led
amdgpu              17129472  40
snd_acp_legacy_mach    24576  0
snd_acp_mach           45056  1 snd_acp_legacy_mach
snd_soc_nau8821        61440  1 snd_acp_mach
snd_acp3x_rn           12288  4
snd_acp3x_pdm_dma      12288  1
snd_soc_dmic           12288  1
snd_sof_amd_acp63      16384  0
snd_sof_amd_vangogh    16384  0
snd_sof_amd_rembrandt    16384  0
intel_rapl_msr         20480  0
snd_sof_amd_renoir     16384  0
intel_rapl_common      40960  1 intel_rapl_msr
snd_hda_codec_realtek   200704  1
snd_sof_amd_acp        53248  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_codec_hdmi     94208  1
snd_sof               380928  2 snd_sof_amd_acp,snd_sof_pci
snd_sof_utils          16384  1 snd_sof
snd_hda_intel          61440  10
snd_soc_core          442368  7 snd_soc_nau8821,snd_acp_mach,snd_acp3x_rn,snd_sof,snd_acp_legacy_mach,snd_soc_dmic,snd_acp3x_pdm_dma
snd_intel_dspcfg       36864  2 snd_hda_intel,snd_sof
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
mt7921e                20480  0
snd_compress           28672  1 snd_soc_core
edac_mce_amd           28672  0
ac97_bus               12288  1 snd_soc_core
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
mt7921_common          81920  1 mt7921e
snd_pcm_dmaengine      16384  1 snd_soc_core
amdxcp                 12288  1 amdgpu
mt792x_lib             69632  2 mt7921e,mt7921_common
btusb                  77824  0
snd_pci_ps             24576  0
drm_exec               12288  1 amdgpu
uvcvideo              139264  0
